"CBSA","CSA","Type","Name"
"44380","172","Micro","Statesville-Mooresville, NC"
"44420",,"Micro","Staunton-Waynesboro, VA"
"44500",,"Micro","Stephenville, TX"
"44540",,"Micro","Sterling, CO"
"44580",,"Micro","Sterling, IL"
"44600",,"Metro","Steubenville-Weirton, OH-WV"
"44620",,"Micro","Stevens Point, WI"
"44660",,"Micro","Stillwater, OK"
"44700",,"Metro","Stockton, CA"
"44740",,"Micro","Storm Lake, IA"
"44780",,"Micro","Sturgis, MI"
"44860",,"Micro","Sulphur Springs, TX"
"44900",,"Micro","Summerville, GA"
"44940",,"Metro","Sumter, SC"
"44980","526","Micro","Sunbury, PA"
"45000",,"Micro","Susanville, CA"
"45020",,"Micro","Sweetwater, TX"
"45060","532","Metro","Syracuse, NY"
"45104",,"Div","Tacoma, WA"
"45140",,"Micro","Tahlequah, OK"
"45180",,"Micro","Talladega-Sylacauga, AL"
"45220",,"Metro","Tallahassee, FL"
"45260",,"Micro","Tallulah, LA"
"45300",,"Metro","Tampa-St. Petersburg-Clearwater, FL"
"45340",,"Micro","Taos, NM"
"45380",,"Micro","Taylorville, IL"
"45460",,"Metro","Terre Haute, IN"
"45500",,"Metro","Texarkana, TX-Texarkana, AR"
"45520",,"Micro","The Dalles, OR"
"45540","422","Micro","The Villages, FL"
"45580","122","Micro","Thomaston, GA"
"45620",,"Micro","Thomasville, GA"
"45640","268","Micro","Thomasville-Lexington, NC"
"45660","248","Micro","Tiffin, OH"
"45700",,"Micro","Tifton, GA"
"45740",,"Micro","Toccoa, GA"
"45780","534","Metro","Toledo, OH"
"45820",,"Metro","Topeka, KS"
"45860","408","Micro","Torrington, CT"
"45900",,"Micro","Traverse City, MI"
"45940","408","Metro","Trenton-Ewing, NJ"
"45980",,"Micro","Troy, AL"
"46020","472","Micro","Truckee-Grass Valley, CA"
"46060",,"Metro","Tucson, AZ"
"46100",,"Micro","Tullahoma, TN"
"46140","538","Metro","Tulsa, OK"
"46180",,"Micro","Tupelo, MS"
"46220",,"Metro","Tuscaloosa, AL"
"46260","194","Micro","Tuskegee, AL"
"46300",,"Micro","Twin Falls, ID"
"46340","540","Metro","Tyler, TX"
"46380",,"Micro","Ukiah, CA"
"46420","273","Micro","Union, SC"
"46460","542","Micro","Union City, TN-KY"
"46500","212","Micro","Urbana, OH"
"46540",,"Metro","Utica-Rome, NY"
"46580","490","Micro","Utuado, PR"
"46620",,"Micro","Uvalde, TX"
"46660",,"Metro","Valdosta, GA"
"46700","488","Metro","Vallejo-Fairfield, CA"
"46740","122","Micro","Valley, AL"
"46780","338","Micro","Van Wert, OH"
"46820","512","Micro","Vermillion, SD"
"46860",,"Micro","Vernal, UT"
"46900",,"Micro","Vernon, TX"
"46980",,"Micro","Vicksburg, MS"
"47020",,"Metro","Victoria, TX"
"47080",,"Micro","Vidalia, GA"
"47180",,"Micro","Vincennes, IN"
"47220","428","Metro","Vineland-Millville-Bridgeton, NJ"
"47260",,"Metro","Virginia Beach-Norfolk-Newport News, VA-NC"
"47300",,"Metro","Visalia-Porterville, CA"
"47340",,"Micro","Wabash, IN"
"47380",,"Metro","Waco, TX"
"47420","244","Micro","Wahpeton, ND-MN"
"47460",,"Micro","Walla Walla, WA"
"47500",,"Micro","Walterboro, SC"
"47540","338","Micro","Wapakoneta, OH"
"47580","356","Metro","Warner Robins, GA"
"47620",,"Micro","Warren, PA"
"47644",,"Div","Warren-Troy-Farmington Hills, MI"
"47660","312","Micro","Warrensburg, MO"
"47700",,"Micro","Warsaw, IN"
"47780",,"Micro","Washington, IN"
"47820",,"Micro","Washington, NC"
"47894",,"Div","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"47900","548","Metro","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"47920","198","Micro","Washington Court House, OH"
"47940",,"Metro","Waterloo-Cedar Falls, IA"
"47980",,"Micro","Watertown, SD"
"48020",,"Micro","Watertown-Fort Atkinson, WI"
"48060",,"Micro","Watertown-Fort Drum, NY"
"48100",,"Micro","Wauchula, FL"
"48140","554","Metro","Wausau, WI"
"48180",,"Micro","Waycross, GA"
"48220",,"Micro","Weatherford, OK"
"48300",,"Metro","Wenatchee-East Wenatchee, WA"
"48424",,"Div","West Palm Beach-Boca Raton-Boynton Beach, FL"
"48460",,"Micro","West Plains, MO"
"48500","200","Micro","West Point, MS"
"48540",,"Metro","Wheeling, WV-OH"
"48580",,"Micro","Whitewater, WI"
"48620","556","Metro","Wichita, KS"
"48660",,"Metro","Wichita Falls, TX"
"48700","558","Metro","Williamsport, PA"
"48740","278","Micro","Willimantic, CT"
"48780",,"Micro","Williston, ND"
"48820",,"Micro","Willmar, MN"
"48864",,"Div","Wilmington, DE-MD-NJ"
"48900",,"Metro","Wilmington, NC"
"48940","178","Micro","Wilmington, OH"
"48980",,"Micro","Wilson, NC"
"49020","548","Metro","Winchester, VA-WV"
"49060","556","Micro","Winfield, KS"
"49100",,"Micro","Winona, MN"
"49180","268","Metro","Winston-Salem, NC"
"49260",,"Micro","Woodward, OK"
"49300",,"Micro","Wooster, OH"
"49340","148","Metro","Worcester, MA"
"49380",,"Micro","Worthington, MN"
"49420",,"Metro","Yakima, WA"
"49460",,"Micro","Yankton, SD"
"49500","434","Metro","Yauco, PR"
"49540","298","Micro","Yazoo City, MS"
"49620","564","Metro","York-Hanover, PA"
"49660","566","Metro","Youngstown-Warren-Boardman, OH-PA"
"49700","472","Metro","Yuba City, CA"
"49740",,"Metro","Yuma, AZ"
"49780",,"Micro","Zanesville, OH"
