"CBSA","CSA","Type","Name"
"23700",,"Micro","Gallup, NM"
"23780",,"Micro","Garden City, KS"
"23820","472","Micro","Gardnerville Ranchos, NV"
"23844",,"Div","Gary, IN"
"23860","396","Micro","Georgetown, SC"
"23900","564","Micro","Gettysburg, PA"
"23940",,"Micro","Gillette, WY"
"23980",,"Micro","Glasgow, KY"
"24020","104","Metro","Glens Falls, NY"
"24100","104","Micro","Gloversville, NY"
"24140",,"Metro","Goldsboro, NC"
"24180","206","Micro","Granbury, TX"
"24220",,"Metro","Grand Forks, ND-MN"
"24260",,"Micro","Grand Island, NE"
"24300",,"Metro","Grand Junction, CO"
"24340","266","Metro","Grand Rapids-Wyoming, MI"
"24380",,"Micro","Grants, NM"
"24420",,"Micro","Grants Pass, OR"
"24460",,"Micro","Great Bend, KS"
"24500",,"Metro","Great Falls, MT"
"24540","216","Metro","Greeley, CO"
"24580",,"Metro","Green Bay, WI"
"24620",,"Micro","Greeneville, TN"
"24660","268","Metro","Greensboro-High Point, NC"
"24700",,"Micro","Greensburg, IN"
"24740",,"Micro","Greenville, MS"
"24780",,"Metro","Greenville, NC"
"24820","212","Micro","Greenville, OH"
"24860","273","Metro","Greenville-Mauldin-Easley, SC"
"24900",,"Micro","Greenwood, MS"
"24940",,"Micro","Greenwood, SC"
"24980",,"Micro","Grenada, MS"
"25020",,"Metro","Guayama, PR"
"25060","274","Metro","Gulfport-Biloxi, MS"
"25100",,"Micro","Guymon, OK"
"25180",,"Metro","Hagerstown-Martinsburg, MD-WV"
"25220",,"Micro","Hammond, LA"
"25260",,"Metro","Hanford-Corcoran, CA"
"25300",,"Micro","Hannibal, MO"
"25340","314","Micro","Harriman, TN"
"25380",,"Micro","Harrisburg, IL"
"25420","276","Metro","Harrisburg-Carlisle, PA"
"25460",,"Micro","Harrison, AR"
"25500",,"Metro","Harrisonburg, VA"
"25540","278","Metro","Hartford-West Hartford-East Hartford, CT"
"25580",,"Micro","Hastings, NE"
"25620",,"Metro","Hattiesburg, MS"
"25660",,"Micro","Havre, MT"
"25700",,"Micro","Hays, KS"
"25720","482","Micro","Heber, UT"
"25740",,"Micro","Helena, MT"
"25760",,"Micro","Helena-West Helena, AR"
"25780",,"Micro","Henderson, NC"
"25820",,"Micro","Hereford, TX"
"25860",,"Metro","Hickory-Lenoir-Morganton, NC"
"25900",,"Micro","Hilo, HI"
"25940",,"Micro","Hilton Head Island-Beaufort, SC"
"25980","496","Metro","Hinesville-Fort Stewart, GA"
"26020",,"Micro","Hobbs, NM"
"26100","266","Metro","Holland-Grand Haven, MI"
"26140",,"Micro","Homosassa Springs, FL"
"26180",,"Metro","Honolulu, HI"
"26220",,"Micro","Hood River, OR"
"26260",,"Micro","Hope, AR"
"26300",,"Metro","Hot Springs, AR"
"26340",,"Micro","Houghton, MI"
"26380",,"Metro","Houma-Bayou Cane-Thibodaux, LA"
"26420","288","Metro","Houston-Sugar Land-Baytown, TX"
"26460","104","Micro","Hudson, NY"
"26480","297","Micro","Humboldt, TN"
"26500",,"Micro","Huntingdon, PA"
"26540","258","Micro","Huntington, IN"
"26580",,"Metro","Huntington-Ashland, WV-KY-OH"
"26620","290","Metro","Huntsville, AL"
"26660","288","Micro","Huntsville, TX"
"26700",,"Micro","Huron, SD"
"26740",,"Micro","Hutchinson, KS"
"26780","378","Micro","Hutchinson, MN"
"26820","292","Metro","Idaho Falls, ID"
"26860",,"Micro","Indiana, PA"
"26900","294","Metro","Indianapolis-Carmel, IN"
"26940",,"Micro","Indianola, MS"
"26980",,"Metro","Iowa City, IA"
"27020",,"Micro","Iron Mountain, MI-WI"
"27060","296","Metro","Ithaca, NY"
"27100",,"Metro","Jackson, MI"
"27140","298","Metro","Jackson, MS"
"27180","297","Metro","Jackson, TN"
"27220",,"Micro","Jackson, WY-ID"
"27260",,"Metro","Jacksonville, FL"
"27300",,"Micro","Jacksonville, IL"
"27340",,"Metro","Jacksonville, NC"
"27380","540","Micro","Jacksonville, TX"
"27420",,"Micro","Jamestown, ND"
"27460",,"Micro","Jamestown-Dunkirk-Fredonia, NY"
"27500",,"Metro","Janesville, WI"
"27540",,"Micro","Jasper, IN"
"27580",,"Micro","Jayuya, PR"
"27620",,"Metro","Jefferson City, MO"
"27660","324","Micro","Jennings, LA"
"27700",,"Micro","Jesup, GA"
"27740","304","Metro","Johnson City, TN"
"27780",,"Metro","Johnstown, PA"
"27860","308","Metro","Jonesboro, AR"
"27900",,"Metro","Joplin, MO"
"27940",,"Micro","Juneau, AK"
"27980",,"Micro","Kahului-Wailuku, HI"
"28020",,"Metro","Kalamazoo-Portage, MI"
"28060",,"Micro","Kalispell, MT"
"28100","176","Metro","Kankakee-Bradley, IL"
"28140","312","Metro","Kansas City, MO-KS"
"28180",,"Micro","Kapaa, HI"
"28260",,"Micro","Kearney, NE"
"28300",,"Micro","Keene, NH"
"28340","258","Micro","Kendallville, IN"
"28380",,"Micro","Kennett, MO"
"28420",,"Metro","Kennewick-Pasco-Richland, WA"
"28500",,"Micro","Kerrville, TX"
"28540",,"Micro","Ketchikan, AK"
"28580",,"Micro","Key West, FL"
"28620",,"Micro","Kill Devil Hills, NC"
"28660",,"Metro","Killeen-Temple-Fort Hood, TX"
"28700","304","Metro","Kingsport-Bristol-Bristol, TN-VA"
"28740","408","Metro","Kingston, NY"
"28780","204","Micro","Kingsville, TX"
"28820",,"Micro","Kinston, NC"
"28860",,"Micro","Kirksville, MO"
"28900",,"Micro","Klamath Falls, OR"
"28940","314","Metro","Knoxville, TN"
"28980",,"Micro","Kodiak, AK"
"29020","316","Metro","Kokomo, IN"
"29060","148","Micro","Laconia, NH"
"29100",,"Metro","La Crosse, WI-MN"
"29140","320","Metro","Lafayette, IN"
"29180","318","Metro","Lafayette, LA"
"29220","314","Micro","La Follette, TN"
"29260",,"Micro","La Grande, OR"
"29300","122","Micro","LaGrange, GA"
"29340","324","Metro","Lake Charles, LA"
"29380",,"Micro","Lake City, FL"
"29404",,"Div","Lake County-Kenosha County, IL-WI"
"29420",,"Metro","Lake Havasu City-Kingman, AZ"
"29460",,"Metro","Lakeland-Winter Haven, FL"
"29500",,"Micro","Lamesa, TX"
"29540",,"Metro","Lancaster, PA"
"29580","172","Micro","Lancaster, SC"
"29620","330","Metro","Lansing-East Lansing, MI"
"29660",,"Micro","Laramie, WY"
"29700",,"Metro","Laredo, TX"
"29740",,"Metro","Las Cruces, NM"
"29780",,"Micro","Las Vegas, NM"
"29820","332","Metro","Las Vegas-Paradise, NV"
"29860",,"Micro","Laurel, MS"
"29900","354","Micro","Laurinburg, NC"
"29940",,"Metro","Lawrence, KS"
"29980",,"Micro","Lawrenceburg, TN"
"30020",,"Metro","Lawton, OK"
"30060",,"Micro","Lebanon, MO"
"30100","180","Micro","Lebanon, NH-VT"
"30140","276","Metro","Lebanon, PA"
"30220","352","Micro","Levelland, TX"
"30260","526","Micro","Lewisburg, PA"
"30280",,"Micro","Lewisburg, TN"
"30300",,"Metro","Lewiston, ID-WA"
"30340","438","Metro","Lewiston-Auburn, ME"
"30380",,"Micro","Lewistown, PA"
"30420",,"Micro","Lexington, NE"
"30460","336","Metro","Lexington-Fayette, KY"
"30500","548","Micro","Lexington Park, MD"
"30580",,"Micro","Liberal, KS"
"30620","338","Metro","Lima, OH"
"30660",,"Micro","Lincoln, IL"
"30700",,"Metro","Lincoln, NE"
"30740","172","Micro","Lincolnton, NC"
"30780","340","Metro","Little Rock-North Little Rock-Conway, AR"
"30820","558","Micro","Lock Haven, PA"
"30860",,"Metro","Logan, UT-ID"
"30900",,"Micro","Logansport, IN"
"30940","202","Micro","London, KY"
"30980","346","Metro","Longview, TX"
"31020",,"Metro","Longview, WA"
"31060",,"Micro","Los Alamos, NM"
"31084",,"Div","Los Angeles-Long Beach-Glendale, CA"
"31100","348","Metro","Los Angeles-Long Beach-Santa Ana, CA"
"31140","350","Metro","Louisville-Jefferson County, KY-IN"
"31180","352","Metro","Lubbock, TX"
"31260",,"Micro","Lufkin, TX"
"31300","354","Micro","Lumberton, NC"
"31340",,"Metro","Lynchburg, VA"
"31380",,"Micro","Macomb, IL"
"31420","356","Metro","Macon, GA"
"31460","260","Metro","Madera-Chowchilla, CA"
"31500",,"Micro","Madison, IN"
"31540","358","Metro","Madison, WI"
"31580",,"Micro","Madisonville, KY"
"31620",,"Micro","Magnolia, AR"
"31660",,"Micro","Malone, NY"
"31700","148","Metro","Manchester-Nashua, NH"
"31740",,"Metro","Manhattan, KS"
"31820",,"Micro","Manitowoc, WI"
"31860",,"Metro","Mankato-North Mankato, MN"
"31900","360","Metro","Mansfield, OH"
"31920","126","Micro","Marble Falls, TX"
"31940",,"Micro","Marinette, WI-MI"
"31980",,"Micro","Marion, IN"
"32020","198","Micro","Marion, OH"
"32060","166","Micro","Marion-Herrin, IL"
"32100",,"Micro","Marquette, MI"
"32140",,"Micro","Marshall, MN"
"32180",,"Micro","Marshall, MO"
"32220","346","Micro","Marshall, TX"
"32260",,"Micro","Marshalltown, IA"
"32270",,"Micro","Marshfield-Wisconsin Rapids, WI"
"32280","542","Micro","Martin, TN"
"32300",,"Micro","Martinsville, VA"
"32340",,"Micro","Maryville, MO"
"32380",,"Micro","Mason City, IA"
"32420","364","Metro","Mayaguez, PR"
"32460","424","Micro","Mayfield, KY"
"32500",,"Micro","Maysville, KY"
"32540",,"Micro","McAlester, OK"
"32580",,"Metro","McAllen-Edinburg-Mission, TX"
"32620",,"Micro","McComb, MS"
"32660",,"Micro","McMinnville, TN"
"32700",,"Micro","McPherson, KS"
"32740",,"Micro","Meadville, PA"
"32780",,"Metro","Medford, OR"
"32820",,"Metro","Memphis, TN-MS-AR"
"32860","232","Micro","Menomonie, WI"
"32900",,"Metro","Merced, CA"
"32940",,"Micro","Meridian, MS"
"32980","554","Micro","Merrill, WI"
"33020",,"Micro","Mexico, MO"
"33060",,"Micro","Miami, OK"
"33100",,"Metro","Miami-Fort Lauderdale-Pompano Beach, FL"
"33124",,"Div","Miami-Miami Beach-Kendall, FL"
"33140","176","Metro","Michigan City-La Porte, IN"
"33180",,"Micro","Middlesborough, KY"
"33220",,"Micro","Midland, MI"
"33260","372","Metro","Midland, TX"
"33300",,"Micro","Milledgeville, GA"
"33340","376","Metro","Milwaukee-Waukesha-West Allis, WI"
"33380","508","Micro","Minden, LA"
"33420","206","Micro","Mineral Wells, TX"
"33460","378","Metro","Minneapolis-St. Paul-Bloomington, MN-WI"
"33500",,"Micro","Minot, ND"
"33540",,"Metro","Missoula, MT"
"33580",,"Micro","Mitchell, SD"
"33620",,"Micro","Moberly, MO"
"33660","380","Metro","Mobile, AL"
"33700",,"Metro","Modesto, CA"
"33740","384","Metro","Monroe, LA"
"33780","220","Metro","Monroe, MI"
"33820",,"Micro","Monroe, WI"
"33860","388","Metro","Montgomery, AL"
"33940",,"Micro","Montrose, CO"
"33980",,"Micro","Morehead City, NC"
"34020",,"Micro","Morgan City, LA"
"34060",,"Metro","Morgantown, WV"
"34100","314","Metro","Morristown, TN"
"34140",,"Micro","Moscow, ID"
"34180",,"Micro","Moses Lake, WA"
"34220",,"Micro","Moultrie, GA"
"34260",,"Micro","Mountain Home, AR"
"34300",,"Micro","Mountain Home, ID"
"34340","268","Micro","Mount Airy, NC"
"34380",,"Micro","Mount Pleasant, MI"
"34420",,"Micro","Mount Pleasant, TX"
"34460","336","Micro","Mount Sterling, KY"
"34500",,"Micro","Mount Vernon, IL"
"34540","198","Micro","Mount Vernon, OH"
"34580","500","Metro","Mount Vernon-Anacortes, WA"
"34620",,"Metro","Muncie, IN"
"34660",,"Micro","Murray, KY"
"34700",,"Micro","Muscatine, IA"
"34740","266","Metro","Muskegon-Norton Shores, MI"
"34780",,"Micro","Muskogee, OK"
"34820","396","Metro","Myrtle Beach-North Myrtle Beach-Conway, SC"
"34860",,"Micro","Nacogdoches, TX"
"34900","488","Metro","Napa, CA"
"34940",,"Metro","Naples-Marco Island, FL"
"34980","400","Metro","Nashville-Davidson--Murfreesboro--Franklin, TN"
"35004",,"Div","Nassau-Suffolk, NY"
"35020",,"Micro","Natchez, MS-LA"
"35060",,"Micro","Natchitoches, LA"
"35084",,"Div","Newark-Union, NJ-PA"
"35100",,"Micro","New Bern, NC"
"35140","192","Micro","Newberry, SC"
"35220","294","Micro","New Castle, IN"
"35260","430","Micro","New Castle, PA"
"35300","408","Metro","New Haven-Milford, CT"
"35340","318","Micro","New Iberia, LA"
"35380","406","Metro","New Orleans-Metairie-Kenner, LA"
"35420",,"Micro","New Philadelphia-Dover, OH"
"35460","314","Micro","Newport, TN"
"35500","218","Micro","Newton, IA"
"35580",,"Micro","New Ulm, MN"
"35620","408","Metro","New York-Northern New Jersey-Long Island, NY-NJ-PA"
"35644","408","Div","New York-White Plains-Wayne, NY-NJ"
"35660",,"Metro","Niles-Benton Harbor, MI"
"35700",,"Micro","Nogales, AZ"
"35740",,"Micro","Norfolk, NE"
"35820",,"Micro","North Platte, NE"
"35840","494","Metro","North Port-Bradenton-Sarasota, FL"
"35860","294","Micro","North Vernon, IN"
"35900",,"Micro","North Wilkesboro, NC"
"35940",,"Micro","Norwalk, OH"
"35980",,"Metro","Norwich-New London, CT"
"36020","500","Micro","Oak Harbor, WA"
"36060","138","Micro","Oak Hill, WV"
"36084",,"Div","Oakland-Fremont-Hayward, CA"
"36100",,"Metro","Ocala, FL"
"36140",,"Metro","Ocean City, NJ"
"36180","480","Micro","Ocean Pines, MD"
"36220","372","Metro","Odessa, TX"
"36260","482","Metro","Ogden-Clearfield, UT"
"36300",,"Micro","Ogdensburg-Massena, NY"
"36340",,"Micro","Oil City, PA"
"36380",,"Micro","Okeechobee, FL"
"36420","416","Metro","Oklahoma City, OK"
"36460","160","Micro","Olean, NY"
"36500","500","Metro","Olympia, WA"
"36540","420","Metro","Omaha-Council Bluffs, NE-IA"
"36580",,"Micro","Oneonta, NY"
"36620",,"Micro","Ontario, OR-ID"
"36660","318","Micro","Opelousas-Eunice, LA"
"36700",,"Micro","Orangeburg, SC"
"36740","422","Metro","Orlando-Kissimmee-Sanford, FL"
"36780","118","Metro","Oshkosh-Neenah, WI"
"36820",,"Micro","Oskaloosa, IA"
"36860",,"Micro","Ottawa-Streator, IL"
"36900",,"Micro","Ottumwa, IA"
"36940",,"Micro","Owatonna, MN"
"36980",,"Metro","Owensboro, KY"
"37020","330","Micro","Owosso, MI"
"37060",,"Micro","Oxford, MS"
"37100","348","Metro","Oxnard-Thousand Oaks-Ventura, CA"
"37140","424","Micro","Paducah, KY-IL"
"37220","332","Micro","Pahrump, NV"
"37260",,"Micro","Palatka, FL"
"37300",,"Micro","Palestine, TX"
"37340",,"Metro","Palm Bay-Melbourne-Titusville, FL"
"37380","422","Metro","Palm Coast, FL"
"37420",,"Micro","Pampa, TX"
"37460",,"Metro","Panama City-Lynn Haven-Panama City Beach, FL"
"37500","308","Micro","Paragould, AR"
"37540",,"Micro","Paris, TN"
"37580",,"Micro","Paris, TX"
"37620",,"Metro","Parkersburg-Marietta-Vienna, WV-OH"
"37660",,"Micro","Parsons, KS"
"37700","274","Metro","Pascagoula, MS"
"37740",,"Micro","Payson, AZ"
"37764",,"Div","Peabody, MA"
"37780",,"Micro","Pecos, TX"
"37800","218","Micro","Pella, IA"
"37820",,"Micro","Pendleton-Hermiston, OR"
"37860",,"Metro","Pensacola-Ferry Pass-Brent, FL"
"37900","426","Metro","Peoria, IL"
"37940","316","Micro","Peru, IN"
"37964",,"Div","Philadelphia, PA"
"37980","428","Metro","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"38020",,"Micro","Phoenix Lake-Cedar Ridge, CA"
"38060",,"Metro","Phoenix-Mesa-Glendale, AZ"
"38100",,"Micro","Picayune, MS"
"38180",,"Micro","Pierre, SD"
"38200","132","Micro","Pierre Part, LA"
"38220","340","Metro","Pine Bluff, AR"
"38260",,"Micro","Pittsburg, KS"
"38300","430","Metro","Pittsburgh, PA"
"38340",,"Metro","Pittsfield, MA"
"38380",,"Micro","Plainview, TX"
"38420",,"Micro","Platteville, WI"
"38460",,"Micro","Plattsburgh, NY"
"38500","515","Micro","Plymouth, IN"
