"MA","ST","Population","City"
"392","IN",288974,"Lafayette"
"396","LA",256844,"Lake Charles"
"398","FL",599944,"Lakeland-Winter Haven"
"400","PA",471237,"Lancaster"
"404","MI",601007,"Lansing-East Lansing"
"408","TX",292770,"Laredo"
"410","NM",325686,"Las Cruces"
"412","NV",1727660,"Las Vegas, NV-AZ"
"415","KS",122606,"Lawrence"
"420","OK",300481,"Lawton"
"424","ME",391062,"Lewiston-Auburn"
"428","KY",948115,"Lexington"
"432","OH",334541,"Lima"
"436","NE",703281,"Lincoln"
"440","AR",1014435,"Little Rock-North Little Rock"
"442","TX",335392,"Longview-Marshall"
"452","KY",1543194,"Louisville, KY-IN"
"460","TX",401170,"Lubbock"
"464","VA",319147,"Lynchburg"
"468","GA",626933,"Macon"
"472","WI",673988,"Madison"
"480","OH",332312,"Mansfield"
"484","PR",302480,"Mayaguez"
"488","TX",637494,"McAllen-Edinburg-Mission"
"489","OR",419346,"Medford-Ashland"
"490","FL",513708,"Melbourne-Titusville-Palm Bay"
"492","TN",1603657,"Memphis, TN-AR-MS"
"494","CA",211526,"Merced"
"512","MN",3515466,"Minneapolis-St. Paul, MN-WI"
"514","MT",355558,"Missoula"
"516","AL",655233,"Mobile"
"517","CA",492161,"Modesto"
"520","LA",372107,"Monroe"
"524","AL",534111,"Montgomery"
"528","IN",210850,"Muncie"
"533","SC",340913,"Myrtle Beach"
"534","FL",269441,"Naples"
"536","TN",1933000,"Nashville"
"552","CT",298714,"New London-Norwich, CT-RI"
"556","LA",1491415,"New Orleans"
"572","VA",1836062,"Norfolk-Virginia Beach-Newport News, VA-NC"
"579","FL",350429,"Ocala"
"580","TX",459295,"Odessa-Midland"
"588","OK",1393575,"Oklahoma City"
"592","NE",924237,"Omaha, NE-IA"
"596","FL",1672109,"Orlando"
"599","KY",211607,"Owensboro"
"601","FL",207329,"Panama City"
"602","WV",347735,"Parkersburg-Marietta, WV-OH"
"608","FL",436576,"Pensacola"
"612","IL",487391,"Peoria-Pekin"
"620","AZ",3364636,"Phoenix-Mesa"
"624","AR",337036,"Pine Bluff"
"628","PA",2845451,"Pittsburgh"
"632","MA",135692,"Pittsfield"
"634","ID",438969,"Pocatello"
"636","PR",605123,"Ponce"
"640","ME",424052,"Portland"
"648","RI",1279617,"Providence-Fall River-Warwick, RI-MA"
"652","UT",474547,"Provo-Orem"
"656","CO",265156,"Pueblo"
"658","FL",157425,"Punta Gorda"
"664","NC",1478122,"Raleigh-Durham-Chapel Hill"
"666","SD",274592,"Rapid City"
"668","PA",407707,"Reading"
"669","CA",393095,"Redding"
"672","NV",493915,"Reno"
"674","WA",427961,"Richland-Kennewick-Pasco"
"676","VA",1169137,"Richmond-Petersburg"
"680","VA",578501,"Roanoke"
"682","MN",327644,"Rochester"
"684","NY",1261878,"Rochester"
"688","IL",512707,"Rockford"
"689","NC",305234,"Rocky Mount"
"696","MI",1112010,"Saginaw-Bay City-Midland"
"698","MN",483232,"St. Cloud"
"700","MO",203764,"St. Joseph"
"704","MO",3580883,"St. Louis, MO-IL"
"712","CA",440121,"Salinas"
"716","UT",1573828,"Salt Lake City-Ogden"
"720","TX",196936,"San Angelo"
"724","TX",1856099,"San Antonio"
"732","CA",2813659,"San Diego"
"746","CA",246300,"San Luis Obispo-Atascadero-Paso Robles"
"748","CA",399242,"Santa Barbara-Santa Maria-Lompoc"
"749","NM",269204,"Santa Fe"
